UNDERLYING                          ,SYMBOL    ,Dec-20,Jan-21,Feb-21,Mar-21,Jun-21,Sep-21,Dec-21,Jun-22,Dec-22,Jun-23,Dec-23,Jun-24,Dec-24,Jun-25,,
DR. REDDY'S LABORATORIES            ,DRREDDY   ,125,125,125,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""DRREDDY.NS"","
BALKRISHNA IND. LTD                 ,BALKRISIND,400,400,400,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BALKRISIND.NS"","
BANDHAN BANK LIMITED                ,BANDHANBNK,1800,1800,1800,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BANDHANBNK.NS"","
BANK OF BARODA                      ,BANKBARODA,8200,11700,11700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BANKBARODA.NS"","
GODREJ CONSUMER PRODUCTS            ,GODREJCP  ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""GODREJCP.NS"","
BHARAT ELECTRONICS LTD              ,BEL       ,7600,7600,7600,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BEL.NS"","
BHARAT FORGE LTD                    ,BHARATFORG,1500,1500,1500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BHARATFORG.NS"","
BHARTI AIRTEL LIMITED               ,BHARTIARTL,1851,1851,1851,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BHARTIARTL.NS"","
BIOCON LIMITED.                     ,BIOCON    ,2300,2300,2300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BIOCON.NS"","
BRITANNIA INDUSTRIES LTD            ,BRITANNIA ,200,200,200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BRITANNIA.NS"","
CADILA HEALTHCARE LIMITED           ,CADILAHC  ,2200,2200,2200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""CADILAHC.NS"","
CANARA BANK                         ,CANBK     ,5000,5400,5400,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""CANBK.NS"","
CIPLA LTD                           ,CIPLA     ,1300,1300,1300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""CIPLA.NS"","
HERO MOTOCORP LIMITED               ,HEROMOTOCO,300,300,300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""HEROMOTOCO.NS"","
HINDUSTAN PETROLEUM CORP            ,HINDPETRO ,2700,2700,2700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""HINDPETRO.NS"","
COAL INDIA LTD                      ,COALINDIA ,3700,4200,4200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""COALINDIA.NS"","
INDIAN OIL CORP LTD                 ,IOC       ,5700,6500,6500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""IOC.NS"","
COFORGE LIMITED                     ,COFORGE   ,375,375,375,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""COFORGE.NS"","
LUPIN LIMITED                       ,LUPIN     ,850,850,850,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""LUPIN.NS"","
COLGATE PALMOLIVE LTD.              ,COLPAL    ,700,700,700,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""COLPAL.NS"","
CONTAINER CORP OF IND LTD           ,CONCOR    ,1563,1563,1563,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""CONCOR.NS"","
CUMMINS INDIA LTD                   ,CUMMINSIND,1200,1200,1200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""CUMMINSIND.NS"","
DIVI'S LABORATORIES LTD             ,DIVISLAB  ,200,200,200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""DIVISLAB.NS"","
DLF LIMITED                         ,DLF       ,3300,3300,3300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""DLF.NS"","
EICHER MOTORS LTD                   ,EICHERMOT ,350,350,350,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""EICHERMOT.NS"","
ESCORTS INDIA LTD                   ,ESCORTS   ,550,550,550,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""ESCORTS.NS"","
